town,slum,localnbc,pid,townid,nbc,oid_1,sluc,u_id,countyid,name,streetaddress,parceloid,nh_gis_id,displayid,SHAPE__Length,slu,objectid,SHAPE__Area
Portsmouth,,118,0292-0135-0000,178,17,,11,178-32597,8,CamaID: 0292-0135-0000,17 WINCHESTER ST,483569,08178-0292-0135-0000,0292-0135-0000,349.04389828291,11,177454,7404.93083891854
Portsmouth,,118,0292-0108-0000,178,17,,11,178-32570,8,CamaID: 0292-0108-0000,54 WINCHESTER ST,483570,08178-0292-0108-0000,0292-0108-0000,499.920910878677,11,177455,15122.0173889917
Portsmouth,,118,0292-0109-0000,178,17,,11,178-32571,8,CamaID: 0292-0109-0000,46 WINCHESTER ST,483571,08178-0292-0109-0000,0292-0109-0000,448.795920943229,11,177456,11346.5825021553
Portsmouth,,118,0292-0112-0000,178,17,,11,178-32574,8,CamaID: 0292-0112-0000,28 WINCHESTER ST,483572,08178-0292-0112-0000,0292-0112-0000,551.028292033071,11,177457,17518.2891244021
Portsmouth,,118,0292-0106-0000,178,17,,11,178-32568,8,CamaID: 0292-0106-0000,10 WINCHESTER ST,483573,08178-0292-0106-0000,0292-0106-0000,382.659097432006,11,177458,8674.2977264037
Portsmouth,,131,0162-0045-0000,178,27,,11,178-35073,8,CamaID: 0162-0045-0000,232 BARTLETT ST,483574,08178-0162-0045-0000,0162-0045-0000,347.291973632331,11,177459,3920.59623136729
Portsmouth,,131,0162-0061-0000,178,27,,11,178-35088,8,CamaID: 0162-0061-0000,85 WOODBURY AVE,483575,08178-0162-0061-0000,0162-0061-0000,523.668916197438,11,177460,12242.6646754089
Portsmouth,,131,0162-0060-0000,178,27,,11,178-35087,8,CamaID: 0162-0060-0000,107 WOODBURY AVE,483576,08178-0162-0060-0000,0162-0060-0000,501.944234083357,11,177461,10079.8001010766
Portsmouth,,118,0293-0004-0000,178,17,,11,178-32689,8,CamaID: 0293-0004-0000,39 MARIETTE DR,483577,08178-0293-0004-0000,0293-0004-0000,719.54226942719,11,177462,17661.9402488973
Portsmouth,,118,0292-0213-0000,178,17,,11,178-32672,8,CamaID: 0292-0213-0000,41 MARIETTE DR,483578,08178-0292-0213-0000,0292-0213-0000,372.189642420029,11,177463,8643.62475147808
